Lat	Lon	Data		
10.75	-2.75	1037.4		
10.75	-2.25	937.9		
10.75	-1.75	998.1		
10.75	-1.25	988.4		
10.75	-0.75	994.4		
10.75	-0.25	997.3		
10.25	-2.75	965.1		
10.25	-2.25	983.8		
10.25	-1.75	1024.1		
10.25	-1.25	1037.7		
10.25	-0.75	1047.4		
10.25	-0.25	1056.5		
10.25	0.25	1066.0		
9.75	-2.75	1034.0		
9.75	-2.25	1020.8		
9.75	-1.75	1047.3		
9.75	-1.25	1075.4		
9.75	-0.75	1092.0		
9.75	-0.25	1154.6		
9.75	0.25	1157.0		
9.25	-2.25	1050.4		
9.25	-1.75	1052.5		
9.25	-1.25	1064.9		
9.25	-0.75	1127.7		
9.25	-0.25	1186.0		
9.25	0.25	1213.5		
8.75	-2.25	1066.0		
8.75	-1.75	1077.0		
8.75	-1.25	1109.5		
8.75	-0.75	1180.6		
8.75	-0.25	1202.2		
8.75	0.25	1229.6		
8.25	-2.25	1115.3		
8.25	-1.75	1178.5		
8.25	-1.25	1185.9		
8.25	-0.75	1226.0		
8.25	-0.25	1279.1		
8.25	0.25	1295.0		
7.75	-2.75	1059.5		
7.75	-2.25	1128.7		
7.75	-1.75	1155.8		
7.75	-1.25	1154.4			
7.25	-2.75	1265.4		
7.75	0.25	1265.0		
7.25	-2.25	1287.7		
7.25	-1.75	1145.7		
7.25	-1.25	1150.2		
7.25	-0.75	1191.8		
7.25	-0.25	1197.2		
7.25	0.25	1259.0		
6.75	-2.75	1249.7		
6.75	-2.25	1278.6		
6.75	-1.75	1204.4		
6.75	-1.25	1232.4		
6.75	-0.75	1272.8		
6.75	-0.25	1275.3		
6.75	0.25	1298.2		
6.25	-2.75	1299.1		
6.25	-2.25	1263.9		
6.25	-1.75	1260.0		
6.25	-1.25	1285.9		
6.25	-0.75	1326.8		
6.25	-0.25	1294.0		
6.25	0.25	1324.9		
6.25	0.75	1206.4		
5.75	-2.75	1128.7		
5.75	-2.25	1054.3		
5.75	-1.75	1373.8		
5.75	-1.25	1382.0		
5.75	-0.75	1363.5		
5.75	-0.25	1172.5		
5.25	-2.75	1294.5		
5.25	-2.25	1115.1		
5.25	-1.75	1534.9		
5.25	-1.25	1493.0			
