"Days","Month","Year","Temp"
1,1,1960,26.4
2,1,1960,25.55
3,1,1960,25.8
4,1,1960,26.35
5,1,1960,26.7
6,1,1960,28.6
7,1,1960,28.35
8,1,1960,29.15
9,1,1960,29.7
10,1,1960,29.7
11,1,1960,29.7
12,1,1960,29.2
13,1,1960,30.25
14,1,1960,27.5
15,1,1960,26.65
16,1,1960,26.4
17,1,1960,28.35
18,1,1960,28.05
19,1,1960,28.05
20,1,1960,28.9
21,1,1960,29.75
22,1,1960,28.35
23,1,1960,29.2
24,1,1960,30.25
25,1,1960,29.15
26,1,1960,27.5
27,1,1960,27.75
28,1,1960,28.35
29,1,1960,28.6
30,1,1960,28.6
31,1,1960,28.35
1,2,1960,29.45
2,2,1960,28.9
3,2,1960,29.15
4,2,1960,28.6
5,2,1960,26.95
6,2,1960,29.45
7,2,1960,28.35
8,2,1960,29.2
9,2,1960,30.85
10,2,1960,30
11,2,1960,28.6
12,2,1960,31.4
13,2,1960,28.85
14,2,1960,29.15
15,2,1960,28.3
16,2,1960,29.15
17,2,1960,30
18,2,1960,31.4
19,2,1960,32.2
20,2,1960,31.65
21,2,1960,31.95
22,2,1960,31.1
23,2,1960,31.1
24,2,1960,31.95
25,2,1960,32.5
26,2,1960,30.85
27,2,1960,31.15
28,2,1960,31.35
29,2,1960,31.1
30,2,1960,30.6333333333333
31,2,1960,30.1666666666667
1,3,1960,29.7
2,3,1960,30.8
3,3,1960,29.15
4,3,1960,30.55
5,3,1960,30.8
6,3,1960,31.35
7,3,1960,31.1
8,3,1960,32.2
9,3,1960,31.35
10,3,1960,32.5
11,3,1960,31.95
12,3,1960,30.85
13,3,1960,31.1
14,3,1960,30.8
15,3,1960,31.65
16,3,1960,30.3
17,3,1960,31.4
18,3,1960,32.5
19,3,1960,31.1
20,3,1960,31.4
21,3,1960,29
22,3,1960,28.6
23,3,1960,27.5
24,3,1960,28.35
25,3,1960,30.85
26,3,1960,30.3
27,3,1960,30.55
28,3,1960,30.85
29,3,1960,32.2
30,3,1960,32.75
31,3,1960,31.65
1,4,1960,31.95
2,4,1960,32.8
3,4,1960,31.1
4,4,1960,31.65
5,4,1960,32
6,4,1960,30.55
7,4,1960,32.2
8,4,1960,29.7
9,4,1960,30
10,4,1960,32.5
11,4,1960,28.6
12,4,1960,30.85
13,4,1960,31.1
14,4,1960,28.35
15,4,1960,30.3
16,4,1960,29.15
17,4,1960,30.3
18,4,1960,30.85
19,4,1960,30.3
20,4,1960,28.35
21,4,1960,29.7
22,4,1960,30.55
23,4,1960,30
24,4,1960,30
25,4,1960,28.35
26,4,1960,29.45
27,4,1960,30.55
28,4,1960,29.45
29,4,1960,29.2
30,4,1960,27.5
31,4,1960,26.95
1,5,1960,26.4
2,5,1960,27.15
3,5,1960,27.8
4,5,1960,30.55
5,5,1960,30.55
6,5,1960,29.7
7,5,1960,27.3
8,5,1960,27.25
9,5,1960,29.15
10,5,1960,28.6
11,5,1960,29.15
12,5,1960,29.15
13,5,1960,30.6
14,5,1960,30
15,5,1960,26.4
16,5,1960,28.05
17,5,1960,27.75
18,5,1960,28.05
19,5,1960,28.6
20,5,1960,30
21,5,1960,27.95
22,5,1960,29.4
23,5,1960,30
24,5,1960,30.85
25,5,1960,30.6
26,5,1960,29.15
27,5,1960,30.3
28,5,1960,30.3
29,5,1960,26.4
30,5,1960,28.05
31,5,1960,28.05
1,6,1960,29.45
2,6,1960,29.75
3,6,1960,23.9
4,6,1960,26.4
5,6,1960,28.05
6,6,1960,29.15
7,6,1960,28.05
8,6,1960,25
9,6,1960,24.7
10,6,1960,27.8
11,6,1960,27.5
12,6,1960,28.35
13,6,1960,28.6
14,6,1960,27.2
15,6,1960,25.85
16,6,1960,26.95
17,6,1960,27.2
18,6,1960,25.85
19,6,1960,24.45
20,6,1960,25.3
21,6,1960,26.95
22,6,1960,23.75
23,6,1960,25
24,6,1960,26.4
25,6,1960,25
26,6,1960,26.4
27,6,1960,25.2
28,6,1960,24.45
29,6,1960,25.85
30,6,1960,24.45
31,6,1960,25.3
1,7,1960,26.15
2,7,1960,27.25
3,7,1960,25
4,7,1960,25.3
5,7,1960,26.65
6,7,1960,26.2
7,7,1960,25.25
8,7,1960,26.95
9,7,1960,27.5
10,7,1960,23.9
11,7,1960,25.85
12,7,1960,25
13,7,1960,26.15
14,7,1960,25.25
15,7,1960,25.85
16,7,1960,25.6
17,7,1960,26.95
18,7,1960,24.7
19,7,1960,26.1
20,7,1960,27.25
21,7,1960,23.05
22,7,1960,24.2
23,7,1960,25.85
24,7,1960,27.25
25,7,1960,27.8
26,7,1960,25.85
27,7,1960,25.8
28,7,1960,25.6
29,7,1960,25.55
30,7,1960,25.55
